"date","date_published","tests_new","tests_residents_new","tests_nonresidents_new","tests_diagnostic_new","tests_diagnostic_residents_new","tests_diagnostic_nonresidents_new","tests_lst_new","tests_lst_residents_new","tests_lst_nonresidents_new","tests_airport_new","tests_airport_residents_new","tests_airport_nonresidents_new","tests_tracing_new","tests_tracing_residents_new","tests_tracing_nonresidents_new","cases_new","cases_residents_new","cases_nonresidents_new","cases_diagnostic_new","cases_diagnostic_residents_new","cases_diagnostic_nonresidents_new","cases_lst_new","cases_lst_residents_new","cases_lst_nonresidents_new","cases_airport_new","cases_airport_residents_new","cases_airport_nonresidents_new","cases_tracing_new","cases_tracing_residents_new","cases_tracing_nonresidents_new","tests","tests_residents","tests_nonresidents","tests_diagnostic","tests_diagnostic_residents","tests_diagnostic_nonresidents","tests_lst","tests_lst_residents","tests_lst_nonresidents","tests_airport","tests_airport_residents","tests_airport_nonresidents","tests_tracing","tests_tracing_residents","tests_tracing_nonresidents","cases","cases_residents","cases_nonresidents","cases_diagnostic","cases_diagnostic_residents","cases_diagnostic_nonresidents","cases_lst","cases_lst_residents","cases_lst_nonresidents","cases_airport","cases_airport_residents","cases_airport_nonresidents","cases_tracing","cases_tracing_residents","cases_tracing_nonresidents","hospital_normal","hospital_normal_confirmed","hospital_normal_suspected","hospital_normal_isolated","hospital_intensive","hospital_intensive_confirmed","hospital_intensive_suspected","hospital_intensive_isolated","vaccination_doses_administered","vaccination_doses_administered_new","vaccination_dose_1_administered","vaccination_dose_1_administered_new","vaccination_dose_2_administered","vaccination_dose_2_administered_new","vaccination_persons_complete","vaccination_persons_complete_new","deaths","deaths_new","active","active_residents","recovered","recovered_residents","reproduction_number_effective","tests_prop_positive","tests_prop_positive_diagnostic","tests_prop_positive_lst"
"2020-10-25","2020-10-26T17:35:00.000+01:00",,1903,,,1548,,,0,,,0,,,355,,,195,,,158,,,0,,,0,,,37,,,1008089,,,293250,,,602635,,,43191,,,69013,,,14399,,,8127,,,1595,,,398,,,4279,,122,102,20,,12,12,0,,,,,,,,,,147,2,,4682,,9570,1.52,0.1025,,
"2020-10-26","2020-10-27T17:35:00.000+01:00",,8863,,,2304,,,4586,,,675,,,1298,,,485,,,225,,,156,,,4,,,100,,,1017308,,,295763,,,607252,,,43872,,,70421,,,14884,,,8346,,,1746,,,402,,,4390,,119,98,21,,16,16,0,,,,,,,,,,147,0,,5158,,9579,1.36,0.0547,,
"2020-10-27","2020-10-28T17:35:00.000+01:00",,12347,,,4266,,,5705,,,337,,,2039,,,774,,,473,,,97,,,8,,,196,,,1030089,,,300197,,,612911,,,44212,,,72769,,,15659,,,8792,,,1831,,,409,,,4627,,136,116,20,,18,16,2,,,,,,,,,,147,0,,5831,,9681,1.24,0.0627,,
"2020-10-28","2020-10-29T17:35:00.000+01:00",,8646,,,3939,,,2928,,,94,,,1685,,,697,,,444,,,116,,,6,,,131,,,1039049,,,304182,,,615786,,,44308,,,74773,,,16356,,,9236,,,1947,,,415,,,4758,,132,119,13,,22,21,1,,,,,,,,,,150,3,,6341,,9865,1.30,0.0806,,
"2020-10-29","2020-10-30T17:35:00.000+01:00",,12676,,,4882,,,5772,,,172,,,1850,,,778,,,604,,,165,,,9,,,0,,,1051725,,,309064,,,621558,,,44480,,,76623,,,17134,,,9840,,,2112,,,424,,,4758,,144,126,18,,26,24,2,,,,,,,,,,152,2,,6901,,10081,1.20,0.0614,,
"2020-11-01","2020-11-02T17:35:00.000+01:00",,6403,,,1509,,,3744,,,203,,,947,,,320,,,236,,,45,,,1,,,38,,,1087076,,,320023,,,637619,,,45264,,,84170,,,19101,,,10854,,,2365,,,432,,,5450,,175,150,25,,30,29,1,,,,,,,,,,160,0,,8224,,10717,1.14,0.0500,,
"2020-11-02","2020-11-03T17:35:00.000+01:00",,8213,,,2836,,,3122,,,501,,,1754,,,533,,,362,,,97,,,4,,,70,,,1095526,,,322841,,,640717,,,45767,,,86201,,,19634,,,11216,,,2462,,,436,,,5520,,197,174,23,,29,29,0,,,,,,,,,,167,7,,8642,,10825,1.13,0.0649,,
"2020-11-03","2020-11-04T17:35:00.000+01:00",,10835,,,3794,,,4556,,,374,,,2111,,,710,,,536,,,93,,,13,,,68,,,1106739,,,326724,,,645285,,,46146,,,88584,,,20344,,,11741,,,2555,,,449,,,5599,,211,195,16,,31,30,1,,,,,,,,,,171,4,,9110,,11063,1.13,0.0653,,
"2020-11-04","2020-11-05T17:35:00.000+01:00",,11981,,,4061,,,5174,,,172,,,2574,,,803,,,532,,,165,,,8,,,98,,,1119084,,,330882,,,650462,,,46324,,,91416,,,21147,,,12273,,,2720,,,457,,,5697,,193,179,14,,36,36,0,,,,,,,,,,177,6,,9451,,11519,1.00,0.0669,,
"2020-11-05","2020-11-06T17:35:00.000+01:00",,12338,,,3512,,,6237,,,291,,,2298,,,659,,,462,,,138,,,1,,,58,,,1131669,,,334465,,,656669,,,46620,,,93915,,,21806,,,12734,,,2858,,,458,,,5756,,180,171,9,,38,37,1,,,,,,,,,,180,3,,9532,,12094,1.05,0.0533,,
"2020-11-08","2020-11-09T17:35:00.000+01:00",,1079,,,709,,,0,,,0,,,370,,,180,,,151,,,0,,,0,,,29,,,1157119,,,341084,,,668073,,,47339,,,100623,,,23227,,,12740,,,2876,,,462,,,7149,,168,158,10,,42,40,2,,,,,,,,,,193,5,,9118,,13913,0.82,0.1668,,
"2020-11-09","2020-11-10T17:35:00.000+01:00",,10730,,,3507,,,6032,,,1191,,,,,,482,,,349,,,127,,,6,,,,,,1168160,,,344705,,,674109,,,48541,,,100805,,,23710,,,13089,,,3003,,,468,,,7150,,177,166,11,,43,42,1,,,,,,,,,,198,5,,9417,,14094,0.84,0.0448,,
"2020-11-10","2020-11-11T17:35:00.000+01:00",,11742,,,5179,,,6036,,,527,,,,,,794,,,615,,,143,,,36,,,,,,1179931,,,349886,,,680150,,,49069,,,100826,,,24505,,,13704,,,3147,,,504,,,7150,,193,181,12,,38,38,0,,,,,,,,,,206,8,,10209,,14091,0.89,0.0676,,
"2020-11-11","2020-11-12T17:35:00.000+01:00",,11432,,,4540,,,6723,,,169,,,,,,700,,,520,,,173,,,7,,,,,,1192911,,,354647,,,687924,,,49360,,,100980,,,25218,,,14223,,,3331,,,511,,,7153,,193,175,18,,39,39,0,,,,,,,,,,211,5,,10209,,14798,0.96,0.0611,,
"2020-11-12","2020-11-13T17:45:00.000+01:00",,12432,,,3994,,,8260,,,178,,,,,,713,,,575,,,137,,,1,,,,,,1206031,,,359088,,,696293,,,49549,,,101101,,,25931,,,14798,,,3468,,,512,,,7153,,189,180,9,,41,41,0,,,,,,,,,,219,8,,10284,,15428,0.94,0.0572,,
"2020-11-15","2020-11-16T17:35:00.000+01:00",,797,,,797,,,0,,,0,,,,,,164,,,164,,,0,,,0,,,,,,1228102,,,367383,,,709283,,,49925,,,101511,,,27256,,,15637,,,3570,,,519,,,7530,,189,165,24,,47,46,1,,,,,,,,,,236,10,,9286,,17734,0.98,0.2058,,
"2020-11-16","2020-11-17T17:35:00.000+01:00",,8806,,,2837,,,5411,,,558,,,,,,425,,,315,,,104,,,6,,,,,,1237169,,,370381,,,714781,,,50493,,,101514,,,27681,,,15952,,,3674,,,525,,,7530,,212,188,24,,48,48,0,,,,,,,,,,240,4,,9417,,18024,0.98,0.0481,,
"2020-11-17","2020-11-18T17:35:00.000+01:00",,14247,,,5904,,,8082,,,261,,,,,,891,,,766,,,117,,,8,,,,,,1251446,,,376306,,,722870,,,50755,,,101515,,,28573,,,16718,,,3792,,,533,,,7530,,214,199,15,,48,48,0,,,,,,,,,,248,8,,9821,,18504,0.95,0.0625,,
"2020-11-18","2020-11-19T17:35:00.000+01:00",,11021,,,4690,,,6236,,,95,,,,,,670,,,546,,,122,,,2,,,,,,1262569,,,381051,,,729147,,,50855,,,101516,,,29243,,,17264,,,3913,,,535,,,7531,,187,177,10,,44,44,0,,,,,,,,,,254,6,,9758,,19231,1.03,0.0606,,
"2020-11-19","2020-11-20T17:35:00.000+01:00",,11782,,,4185,,,7439,,,158,,,,,,519,,,446,,,72,,,1,,,,,,1274382,,,385261,,,736592,,,51013,,,101516,,,29762,,,17710,,,3985,,,536,,,7531,,186,179,7,,44,43,1,,,,,,,,,,260,6,,9488,,20014,1.00,0.0441,,
"2020-11-22","2020-11-23T17:35:00.000+01:00",,1870,,,885,,,983,,,2,,,,,,173,,,156,,,15,,,2,,,,,,1300901,,,397191,,,750752,,,51424,,,101534,,,31111,,,18888,,,4150,,,539,,,7534,,205,195,10,,49,47,2,,,,,,,,,,273,7,,8834,,22004,1.00,0.0925,,
"2020-11-23","2020-11-24T17:35:00.000+01:00",,9491,,,3919,,,5069,,,503,,,,,,372,,,294,,,74,,,4,,,,,,1311349,,,401816,,,756050,,,51944,,,101539,,,31484,,,19182,,,4224,,,543,,,7535,,199,191,8,,47,46,1,,,,,,,,,,283,10,,9012,,22189,1.00,0.0392,,
"2020-11-24","2020-11-25T17:35:00.000+01:00",,12881,,,5301,,,7368,,,212,,,,,,616,,,500,,,114,,,2,,,,,,1325017,,,407714,,,763596,,,52162,,,101545,,,32100,,,19682,,,4338,,,545,,,7535,,188,182,6,,46,43,3,,,,,,,,,,288,5,,9182,,22630,0.97,0.0478,,
"2020-11-25","2020-11-26T17:35:00.000+01:00",,12845,,,5165,,,7618,,,62,,,,,,773,,,671,,,100,,,2,,,,,,1338559,,,413409,,,771372,,,52233,,,101545,,,32873,,,20353,,,4438,,,547,,,7535,,188,179,9,,44,44,0,,,,,,,,,,294,6,,9175,,23404,0.81,0.0600,,
"2020-11-26","2020-11-27T17:35:00.000+01:00",,11431,,,4489,,,6770,,,172,,,,,,535,,,474,,,56,,,5,,,,,,1350343,,,418155,,,778234,,,52408,,,101546,,,33409,,,20827,,,4494,,,552,,,7536,,181,177,4,,43,43,0,,,,,,,,,,300,6,,9036,,24073,0.97,0.0467,,
"2020-11-29","2020-11-30T17:35:00.000+01:00",,856,,,856,,,0,,,0,,,,,,139,,,139,,,0,,,0,,,,,,1374203,,,428551,,,791430,,,52674,,,101548,,,34678,,,21927,,,4658,,,555,,,7538,,176,172,4,,42,42,0,,,,,,,,,,321,9,,8271,,26086,0.98,0.1624,,
"2020-11-30","2020-12-01T17:35:00.000+01:00",,9233,,,3380,,,5299,,,554,,,,,,451,,,375,,,71,,,5,,,,,,1383631,,,432076,,,796776,,,53231,,,101548,,,35129,,,22302,,,4729,,,560,,,7538,,175,170,5,,42,42,0,,,,,,,,,,330,9,,8643,,26156,0.97,0.0488,,
"2020-12-01","2020-12-02T17:35:00.000+01:00",,11502,,,4943,,,6312,,,247,,,,,,672,,,579,,,91,,,2,,,,,,1395562,,,437357,,,803177,,,53479,,,101549,,,35802,,,22881,,,4820,,,562,,,7539,,175,169,6,,41,41,0,,,,,,,,,,334,4,,8971,,26497,1.04,0.0584,,
"2020-12-02","2020-12-03T17:35:00.000+01:00",,11237,,,5107,,,6041,,,89,,,,,,625,,,539,,,85,,,1,,,,,,1407284,,,442772,,,809369,,,53591,,,101552,,,36429,,,23420,,,4906,,,564,,,7539,,170,160,10,,41,41,0,,,,,,,,,,339,5,,8734,,27356,1.05,0.0555,,
"2020-12-03","2020-12-04T17:15:00.000+01:00",,11110,,,4227,,,6762,,,121,,,,,,588,,,526,,,60,,,2,,,,,,1418680,,,447205,,,816209,,,53714,,,101552,,,37017,,,23946,,,4966,,,566,,,7539,,162,152,10,,41,41,0,,,,,,,,,,345,6,,8643,,28029,0.91,0.0528,,
"2020-12-06","2020-12-07T17:25:00.000+01:00",,776,,,776,,,0,,,0,,,,,,151,,,151,,,0,,,0,,,,,,1446528,,,459052,,,831844,,,54046,,,101586,,,38476,,,25238,,,5133,,,567,,,7538,,173,163,10,,40,39,1,,,,,,,,,,360,7,,8324,,29792,1.02,0.1946,,
"2020-12-07","2020-12-08T17:25:00.000+01:00",,9116,,,1854,,,5409,,,474,,,1379,,,388,,,183,,,65,,,3,,,137,,,1445783,,,410830,,,839668,,,55520,,,139765,,,39511,,,20556,,,5179,,,619,,,13157,,166,160,6,30,43,43,0,1,,,,,,,,,369,9,,9246,,29896,1.02,0.0426,0.0987,0.0120
"2020-12-09","2020-12-10T17:35:00.000+01:00",,8336,,,2950,,,5323,,,63,,,,,,480,,,412,,,67,,,1,,,,,,1475746,,,475301,,,844246,,,54698,,,101501,,,40037,,,26594,,,5329,,,573,,,7541,,186,169,17,36,49,47,2,1,,,,,,,,,384,9,,8755,,30898,1.00,0.0576,0.1397,0.0126
"2020-12-10","2020-12-11T17:08:00.000+01:00",,12696,,,4399,,,8143,,,154,,,,,,506,,,418,,,87,,,1,,,,,,1495056,,,481138,,,857482,,,54935,,,101501,,,40755,,,27158,,,5481,,,575,,,7541,,186,170,16,33,49,47,2,1,,,,,,,,,392,8,,8685,,31678,1.03,0.0399,0.0950,0.0107
"2020-12-13","2020-12-14T17:08:00.000+01:00",,1313,,,1313,,,0,,,0,,,,,,182,,,182,,,0,,,0,,,,,,1519424,,,491543,,,871106,,,55244,,,101531,,,41900,,,28203,,,5580,,,575,,,7542,,201,189,12,42,51,50,1,0,,,,,,,,,410,8,,8123,,33367,0.87,0.1386,0.1386,
"2020-12-14","2020-12-15T17:13:00.000+01:00",,11201,,,3879,,,6772,,,550,,,,,,349,,,293,,,53,,,3,,,,,,1530785,,,495545,,,877910,,,55795,,,101535,,,42250,,,28494,,,5633,,,578,,,7545,,205,190,15,46,48,48,0,0,,,,,,,,,418,8,,8346,,33486,0.97,0.0312,0.0755,0.0078
"2020-12-15","2020-12-16T17:16:00.000+01:00",,13900,,,5930,,,7706,,,264,,,,,,595,,,536,,,59,,,0,,,,,,1545073,,,501773,,,885702,,,56063,,,101535,,,42845,,,29030,,,5692,,,578,,,7545,,197,187,10,39,48,48,0,0,,,,,,,,,421,3,,8504,,33920,0.96,0.0428,0.0904,0.0077
"2020-12-16","2020-12-17T17:09:00.000+01:00",,12787,,,5162,,,7417,,,208,,,,,,434,,,358,,,74,,,2,,,,,,1558159,,,507131,,,893195,,,56274,,,101559,,,43279,,,29388,,,5766,,,580,,,7545,,193,183,10,44,48,47,1,1,,,,,,,,,428,7,,8242,,34609,0.89,0.0339,0.0694,0.0100
"2020-12-17","2020-12-18T17:16:00.000+01:00",,13015,,,5578,,,7194,,,243,,,,,,449,,,365,,,84,,,0,,,,,,1571661,,,513068,,,900511,,,56522,,,101560,,,43728,,,29754,,,5850,,,580,,,7544,,192,183,9,38,43,43,0,1,,,,,,,,,434,6,,8057,,35237,0.80,0.0345,0.0654,0.0117
"2020-12-20","2020-12-21T17:21:00.000+01:00",,1018,,,1018,,,0,,,0,,,,,,91,,,91,,,0,,,0,,,,,,1599613,,,526057,,,914823,,,57169,,,101564,,,44582,,,30522,,,5934,,,581,,,7545,,179,169,10,29,39,38,1,1,,,,,,,,,450,6,,7026,,37106,0.87,0.0894,0.0894,
"2020-12-21","2020-12-22T17:12:00.000+01:00",,10503,,,3793,,,5837,,,873,,,,,,227,,,213,,,10,,,4,,,,,,1610217,,,529909,,,920699,,,58045,,,101564,,,44809,,,30735,,,5944,,,585,,,7545,,160,154,6,39,40,39,1,6,,,,,,,,,453,3,,7135,,37221,0.88,0.0216,0.0562,0.0017
"2020-12-22","2020-12-23T17:24:00.000+01:00",,15372,,,6183,,,8861,,,328,,,,,,400,,,340,,,55,,,5,,,,,,1625769,,,536227,,,929603,,,58375,,,101564,,,45209,,,31075,,,5999,,,590,,,7545,,162,152,10,47,42,40,2,0,,,,,,,,,458,5,,7177,,37574,0.86,0.0260,0.0550,0.0062
"2020-12-27","2020-12-28T17:25:00.000+01:00",,300,,,300,,,0,,,0,,,,,,16,,,16,,,0,,,0,,,,,,1650157,,,549015,,,940699,,,58877,,,101566,,,45849,,,31674,,,6038,,,591,,,7546,,126,118,8,43,33,32,1,1,,,,,,,,,487,9,,4906,,40456,0.39,0.0533,0.0533,
"2020-12-28","2020-12-29T17:22:00.000+01:00",,7136,,,3411,,,2635,,,1090,,,,,,239,,,232,,,4,,,3,,,,,,1657313,,,552443,,,943337,,,59967,,,101566,,,46088,,,31906,,,6042,,,594,,,7546,,129,125,4,36,32,32,0,1,,,,,,,,,489,2,,4991,,40608,0.43,0.0335,0.0680,0.0015
"2020-12-29","2020-12-30T17:05:00.000+01:00",,8850,,,4139,,,4270,,,441,,,,,,326,,,314,,,8,,,4,,,,,,1666224,,,556629,,,947619,,,60409,,,101567,,,46415,,,32220,,,6050,,,598,,,7547,,122,116,6,31,32,31,1,1,,,,,,,,,495,6,,4942,,40978,0.75,0.0368,0.0759,0.0019
"2021-01-03","2021-01-04T17:15:00.000+01:00",,617,,,617,,,0,,,0,,,,,,66,,,66,,,0,,,0,,,,,,1684316,,,564686,,,956179,,,61883,,,101568,,,46986,,,32738,,,6088,,,612,,,7548,,106,90,16,36,36,34,2,0,,,,,,,,,508,2,,3114,,43364,0.93,0.1070,0.1070,
"2021-01-04","2021-01-05T17:09:00.000+01:00",,9318,,,2792,,,4969,,,1557,,,,,,163,,,156,,,3,,,4,,,,,,1693640,,,567482,,,961150,,,63440,,,101568,,,47149,,,32894,,,6091,,,616,,,7548,,98,91,7,31,33,32,1,0,,,,,,,,,514,6,,3167,,43468,1.01,0.0175,0.0559,0.0006
"2021-01-05","2021-01-06T17:24:00.000+01:00",,12244,,,3153,,,8355,,,736,,,,,,281,,,231,,,27,,,23,,,,,,1705947,,,570680,,,969521,,,64178,,,101568,,,47430,,,33125,,,6118,,,639,,,7548,,84,76,8,35,29,28,1,0,,,,,,,,,517,3,,3201,,43712,0.90,0.0230,0.0733,0.0032
"2021-01-06","2021-01-07T17:05:00.000+01:00",,10114,,,2563,,,7260,,,291,,,,,,161,,,145,,,16,,,0,,,,,,1716089,,,573259,,,976791,,,64469,,,101570,,,47592,,,33270,,,6134,,,639,,,7549,,83,78,5,34,26,26,0,0,,,,,,,,,521,4,,2884,,44187,0.87,0.0159,0.0566,0.0022
"2021-01-07","2021-01-08T17:11:00.000+01:00",,10777,,,2360,,,7971,,,446,,,,,,149,,,110,,,31,,,8,,,,,,1726942,,,575657,,,984794,,,64917,,,101574,,,47744,,,33380,,,6165,,,647,,,7552,,81,77,4,32,23,23,0,0,,,,,,,,,527,6,,2735,,44482,0.88,0.0138,0.0466,0.0039
"2021-01-10","2021-01-11T17:05:00.000+01:00",,637,,,637,,,0,,,0,,,,,,42,,,42,,,0,,,0,,,,,,1747872,,,580863,,,999715,,,65719,,,101575,,,48027,,,33642,,,6180,,,652,,,7553,,77,69,8,39,23,23,0,1,,,,,,,,,535,2,,2647,,44845,1.06,0.0659,0.0659,
"2021-01-11","2021-01-12T17:32:00.000+01:00",,10406,,,2387,,,6781,,,1238,,,,,,153,,,132,,,10,,,11,,,,,,1758293,,,583261,,,1006499,,,66957,,,101576,,,48181,,,33774,,,6190,,,663,,,7554,,78,68,10,46,24,24,0,1,1943,242,1943,242,0,0,0,0,538,3,,2795,,44848,1.01,0.0147,0.0554,0.0015
"2021-01-12","2021-01-13T18:15:00.000+01:00",,9766,,,2869,,,6499,,,398,,,,,,190,,,153,,,31,,,6,,,,,,1768093,,,586155,,,1013004,,,67356,,,101578,,,48372,,,33927,,,6221,,,669,,,7555,,79,71,8,52,22,21,1,1,2372,429,2372,429,0,0,0,0,542,4,,2895,,44935,1.00,0.0195,0.0533,0.0048
"2021-01-13","2021-01-14T17:25:00.000+01:00",,8875,,,2415,,,6342,,,118,,,,,,114,,,103,,,11,,,0,,,,,,1777132,,,588684,,,1019390,,,67480,,,101578,,,48486,,,34030,,,6232,,,669,,,7555,,79,68,11,57,24,23,1,0,2871,499,2871,499,0,0,0,0,545,3,,2492,,45449,0.87,0.0128,0.0427,0.0017
"2021-01-14","2021-01-15T17:25:00.000+01:00",,7376,,,2170,,,4964,,,242,,,,,,143,,,120,,,20,,,3,,,,,,1784585,,,590906,,,1024371,,,67728,,,101580,,,48630,,,34150,,,6252,,,672,,,7556,,77,68,9,50,22,21,1,1,3233,362,3233,362,0,0,0,0,549,4,,2427,,45654,0.86,0.0194,0.0553,0.0040
"2021-01-17","2021-01-18T17:16:00.000+01:00",,653,,,653,,,0,,,0,,,,,,37,,,37,,,0,,,0,,,,,,1799611,,,595441,,,1034281,,,68308,,,101581,,,48890,,,34377,,,6281,,,675,,,7557,,79,68,11,40,22,20,2,0,3755,0,3755,0,0,0,0,0,557,5,,2336,,45997,0.92,0.0567,0.0567,
"2021-01-18","2021-01-19T17:05:00.000+01:00",,7115,,,2154,,,4458,,,503,,,,,,85,,,74,,,7,,,4,,,,,,1806727,,,597596,,,1038739,,,68811,,,101581,,,48975,,,34451,,,6288,,,679,,,7557,,84,68,16,41,21,20,1,0,4569,814,4122,367,447,447,447,447,560,3,,2364,,46051,0.94,0.0119,0.0344,0.0016
"2021-01-19","2021-01-20T17:20:00.000+01:00",,8487,,,3397,,,4781,,,309,,,,,,229,,,167,,,51,,,11,,,,,,1815315,,,601069,,,1043543,,,69122,,,101581,,,49204,,,34618,,,6339,,,690,,,7557,,80,67,13,34,19,17,2,1,5294,725,4499,377,795,348,795,348,562,2,,2431,,46211,0.84,0.0270,0.0492,0.0107
"2021-01-20","2021-01-21T17:10:00.000+01:00",,6981,,,2334,,,4517,,,130,,,,,,115,,,99,,,16,,,0,,,,,,1822370,,,603460,,,1048076,,,69253,,,101581,,,49319,,,34717,,,6355,,,690,,,7557,,70,58,12,32,17,14,3,1,6193,900,4950,451,1244,449,1244,449,562,0,,2258,,46499,0.97,0.0165,0.0424,0.0035
"2021-01-21","2021-01-22T17:10:00.000+01:00",,6406,,,2532,,,3676,,,198,,,,,,119,,,100,,,19,,,0,,,,,,1828776,,,605992,,,1051752,,,69451,,,101581,,,49438,,,34817,,,6374,,,690,,,7557,,73,63,10,30,16,14,2,1,6897,704,5654,704,1244,0,1244,0,562,0,,2220,,46656,0.98,0.0186,0.0395,0.0052
"2021-01-24","2021-01-25T17:15:00.000+01:00",,272,,,272,,,0,,,0,,,,,,29,,,29,,,0,,,0,,,,,,1844524,,,610889,,,1062203,,,69851,,,101581,,,49733,,,35076,,,6402,,,698,,,7557,,61,57,4,24,15,14,1,3,7711,0,6467,0,1244,0,1244,0,566,2,,2058,,47109,1.04,0.1066,0.1066,
"2021-01-25","2021-01-26T17:40:00.000+01:00",,9210,,,2473,,,6204,,,533,,,,,,119,,,102,,,14,,,3,,,,,,1853881,,,613483,,,1068429,,,70388,,,101581,,,49852,,,35178,,,6416,,,701,,,7557,,69,61,8,22,16,15,1,2,8554,843,7309,842,1245,1,1245,1,570,4,,2135,,47147,1.01,0.0129,0.0412,0.0023
"2021-01-26","2021-01-27T17:40:00.000+01:00",,9798,,,2995,,,6681,,,122,,,,,,237,,,193,,,41,,,3,,,,,,1863851,,,616612,,,1075146,,,70512,,,101581,,,50089,,,35371,,,6457,,,704,,,7557,,64,55,9,17,17,15,2,2,9525,969,8280,969,1245,0,1245,0,571,1,,2216,,47302,1.05,0.0242,0.0645,0.0061
"2021-01-27","2021-01-28T17:00:00.000+01:00",,7692,,,2777,,,4844,,,71,,,,,,138,,,132,,,6,,,0,,,,,,1871780,,,619565,,,1080049,,,70584,,,101582,,,50228,,,35503,,,6463,,,704,,,7558,,64,49,15,14,15,14,1,2,10449,924,9107,827,1342,97,1342,97,574,3,,2148,,47506,1.05,0.0179,0.0475,0.0012
"2021-01-28","2021-01-29T17:07:00.000+01:00",,8879,,,2736,,,5994,,,149,,,,,,160,,,141,,,19,,,0,,,,,,1880686,,,622319,,,1086049,,,70736,,,101582,,,50388,,,35644,,,6482,,,704,,,7558,,63,53,10,22,13,12,1,0,11373,922,9890,781,1483,141,1483,141,577,3,,2196,,47615,1.08,0.0180,0.0516,0.0032
"2021-01-31","2021-02-01T17:20:00.000+01:00",,545,,,545,,,0,,,0,,,,,,34,,,34,,,0,,,0,,,,,,1896885,,,628374,,,1096132,,,70797,,,101582,,,50733,,,35943,,,6528,,,704,,,7558,,68,54,14,14,12,11,1,0,12428,0,10748,0,1680,0,1680,0,584,4,,2175,,47974,1.10,0.0624,0.0624,
"2021-02-01","2021-02-02T17:05:00.000+01:00",,10979,,,2754,,,8225,,,0,,,,,,190,,,154,,,36,,,0,,,,,,1907883,,,631141,,,1104362,,,70798,,,101582,,,50923,,,36097,,,6564,,,704,,,7558,,68,55,13,16,14,13,1,0,13241,811,11336,586,1905,225,1905,225,586,2,,2331,,48006,1.08,0.0173,0.0560,0.0044
"2021-02-02","2021-02-03T17:05:00.000+01:00",,10577,,,3525,,,7052,,,0,,,,,,203,,,186,,,17,,,0,,,,,,1918609,,,634764,,,1111460,,,70801,,,101584,,,51128,,,36283,,,6581,,,704,,,7560,,73,57,16,22,14,14,0,0,14252,1012,11925,590,2327,422,2327,422,587,1,,2449,,48092,1.15,0.0192,0.0528,0.0024
"2021-02-03","2021-02-04T17:12:00.000+01:00",,9304,,,3640,,,5664,,,0,,,,,,199,,,171,,,28,,,0,,,,,,1928117,,,638549,,,1117176,,,70803,,,101589,,,51330,,,36454,,,6609,,,704,,,7563,,57,46,11,23,13,12,1,0,15407,1155,12597,672,2810,483,2810,483,588,1,,2431,,48311,1.05,0.0214,0.0470,0.0049
"2021-02-04","2021-02-05T17:15:00.000+01:00",,10452,,,3449,,,7003,,,0,,,,,,181,,,158,,,23,,,0,,,,,,1938632,,,642041,,,1124198,,,70803,,,101590,,,51512,,,36612,,,6632,,,704,,,7564,,55,46,9,22,11,11,0,0,16419,1012,13256,659,3163,353,3163,353,590,2,,2501,,48421,1.10,0.0173,0.0458,0.0033
"2021-02-07","2021-02-08T17:05:00.000+01:00",,630,,,630,,,0,,,0,,,,,,31,,,31,,,0,,,0,,,,,,1959250,,,650125,,,1136727,,,70808,,,101590,,,51879,,,36962,,,6649,,,704,,,7564,,57,51,6,17,15,14,1,1,17628,0,13940,0,3688,0,3688,0,597,4,,2429,,48853,1.06,0.0493,0.0493,
"2021-02-08","2021-02-09T17:20:00.000+01:00",,10526,,,2976,,,7550,,,0,,,,,,142,,,117,,,25,,,0,,,,,,1969824,,,653143,,,1144283,,,70808,,,101590,,,52022,,,37080,,,6676,,,704,,,7564,,58,53,5,18,15,15,0,0,18139,511,14089,149,4050,362,4050,362,600,3,,2576,,48846,1.04,0.0135,0.0393,0.0033
"2021-02-09","2021-02-10T17:10:00.000+01:00",,11697,,,3568,,,8128,,,1,,,,,,225,,,193,,,32,,,0,,,,,,1981645,,,656800,,,1152441,,,70814,,,101590,,,52247,,,37273,,,6706,,,704,,,7564,,62,54,8,15,12,12,0,0,18653,514,14227,138,4426,376,4426,376,602,2,,2696,,48949,0.95,0.0192,0.0541,0.0039
"2021-02-10","2021-02-11T17:55:00.000+01:00",,11449,,,3444,,,6732,,,0,,,1273,,,200,,,66,,,22,,,0,,,112,,,1961904,,,537354,,,1152012,,,70749,,,201789,,,52392,,,22999,,,5625,,,651,,,23117,,62,50,12,18,14,13,1,0,19923,1273,15052,828,4871,445,4871,445,604,2,,2622,,49166,1.00,0.0175,0.0192,0.0033
"2021-02-11","2021-02-12T17:05:00.000+01:00",,12223,,,4120,,,6971,,,0,,,1132,,,147,,,54,,,8,,,0,,,85,,,1974127,,,541469,,,1158978,,,70749,,,202931,,,52539,,,23053,,,5633,,,651,,,23202,,62,54,8,19,14,14,0,0,21390,1468,16131,1079,5259,389,5259,389,606,2,,2632,,49301,1.00,0.0120,0.0131,0.0011
