"date","date_published","measure","group","interval","min_age","max_age","proportion"
2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.059
2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.245
2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.673
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.047
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.235
2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.694
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.682
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.247
2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.685
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.247
2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.686
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
