"date_start","date_end","date_published","school_type","school_level","scenario","persons","cases","cases_new"
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","public","secondary",1,"teachers",11,2
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","public","secondary",2,"students",59,22
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","public","secondary",2,"teachers",5,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","public","secondary",3,"students",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","public","secondary",3,"teachers",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","primary",1,"students",2,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","primary",1,"teachers",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","primary",2,"students",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","primary",2,"teachers",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","primary",3,"students",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","primary",3,"teachers",0,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","secondary",1,"students",29,15
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","secondary",1,"teachers",4,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","secondary",2,"students",17,2
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","secondary",2,"teachers",2,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","secondary",3,"students",3,0
2020-10-10,2020-10-16,"2020-10-21T12:00:00.000+02:00","private","secondary",3,"teachers",0,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","fondamental",1,"students",151,65
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","fondamental",1,"teachers",65,39
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","fondamental",2,"students",51,11
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","fondamental",2,"teachers",14,9
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","fondamental",3,"students",1,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","fondamental",3,"teachers",4,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","secondary",1,"students",250,107
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","secondary",1,"teachers",47,36
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","secondary",2,"students",87,28
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","secondary",2,"teachers",20,15
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","secondary",3,"students",0,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","public","secondary",3,"teachers",0,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","primary",1,"students",30,28
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","primary",1,"teachers",3,3
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","primary",2,"students",18,18
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","primary",2,"teachers",0,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","primary",3,"students",0,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","primary",3,"teachers",0,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","secondary",1,"students",29,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","secondary",1,"teachers",16,12
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","secondary",2,"students",17,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","secondary",2,"teachers",2,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","secondary",3,"students",3,0
2020-10-17,2020-10-23,"2020-10-26T12:00:00.000+02:00","private","secondary",3,"teachers",0,0
