"date_start","date_end","date_published","year","week","measure","group","interval","min_age","max_age","proportion"
"2020-06-29","2020-07-05","2020-07-10T17:00:00.000+02:00",2020,27,"quarantine_age","0 – 15","[0, 15)",0,15,0.21
"2020-06-29","2020-07-05","2020-07-10T17:00:00.000+02:00",2020,27,"quarantine_age","15 – 30","[15, 30)",15,30,0.32
"2020-06-29","2020-07-05","2020-07-10T17:00:00.000+02:00",2020,27,"quarantine_age","30 – 45","[30, 45)",30,45,0.23
"2020-06-29","2020-07-05","2020-07-10T17:00:00.000+02:00",2020,27,"quarantine_age","45 – 60","[45, 60)",45,60,0.2
"2020-06-29","2020-07-05","2020-07-10T17:00:00.000+02:00",2020,27,"quarantine_age","≥ 60","[60, +∞)",60,,0.04
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"quarantine_age","0 – 15","[0, 15)",0,15,0.26
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"quarantine_age","15 – 30","[15, 30)",15,30,0.26
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"quarantine_age","30 – 45","[30, 45)",30,45,0.24
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"quarantine_age","45 – 60","[45, 60)",45,60,0.2
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"quarantine_age","≥ 60","[60, +∞)",60,,0.03
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"quarantine_age","0 – 15","[0, 15)",0,15,0.27
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"quarantine_age","15 – 30","[15, 30)",15,30,0.27
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"quarantine_age","30 – 45","[30, 45)",30,45,0.23
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"quarantine_age","45 – 60","[45, 60)",45,60,0.19
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"quarantine_age","≥ 60","[60, +∞)",60,,0.03
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"quarantine_age","0 – 15","[0, 15)",0,15,0.25
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"quarantine_age","15 – 30","[15, 30)",15,30,0.24
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"quarantine_age","30 – 45","[30, 45)",30,45,0.24
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"quarantine_age","45 – 60","[45, 60)",45,60,0.21
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"quarantine_age","≥ 60","[60, +∞)",60,,0.06
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"quarantine_age","0 – 15","[0, 15)",0,15,0.23
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"quarantine_age","15 – 30","[15, 30)",15,30,0.27
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"quarantine_age","30 – 45","[30, 45)",30,45,0.24
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"quarantine_age","45 – 60","[45, 60)",45,60,0.2
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"quarantine_age","≥ 60","[60, +∞)",60,,0.05
"2020-08-03","2020-08-09","2020-08-19T18:00:00.000+02:00",2020,32,"quarantine_age","0 – 15","[0, 15)",0,15,0.25
"2020-08-03","2020-08-09","2020-08-19T18:00:00.000+02:00",2020,32,"quarantine_age","15 – 30","[15, 30)",15,30,0.26
"2020-08-03","2020-08-09","2020-08-19T18:00:00.000+02:00",2020,32,"quarantine_age","30 – 45","[30, 45)",30,45,0.23
"2020-08-03","2020-08-09","2020-08-19T18:00:00.000+02:00",2020,32,"quarantine_age","45 – 60","[45, 60)",45,60,0.21
"2020-08-03","2020-08-09","2020-08-19T18:00:00.000+02:00",2020,32,"quarantine_age","≥ 60","[60, +∞)",60,,0.06
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"quarantine_age","0 – 15","[0, 15)",0,15,0.19
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"quarantine_age","15 – 30","[15, 30)",15,30,0.27
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"quarantine_age","30 – 45","[30, 45)",30,45,0.25
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"quarantine_age","45 – 60","[45, 60)",45,60,0.22
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"quarantine_age","≥ 60","[60, +∞)",60,,0.07
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"quarantine_age","0 – 15","[0, 15)",0,15,0.17
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"quarantine_age","15 – 30","[15, 30)",15,30,0.3
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"quarantine_age","30 – 45","[30, 45)",30,45,0.25
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"quarantine_age","45 – 60","[45, 60)",45,60,0.21
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"quarantine_age","≥ 60","[60, +∞)",60,,0.06
