date_start,date_end,date_published,measure,spatial_unit_type,ISO 3166-2:LU,LAU,LAU1_2012,LAU2_2012,LAU1_2010,LAU2_2010,name,residents,cases_new,cases_new_per_week_100k
2020-07-06,2020-07-26,2020-07-30T18:35:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,30,42.74
2020-07-06,2020-07-26,2020-07-30T18:35:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,6,36.54
2020-07-06,2020-07-26,2020-07-30T18:35:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,24,44.78
2020-07-06,2020-07-26,2020-07-30T18:35:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,312,84.67
2020-07-06,2020-07-26,2020-07-30T18:35:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,71,34.54
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,66,43.70
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,18,31.51
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,50,49.22
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,16,27.69
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,894,162.01
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,29,31.05
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,386,67.24
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,38,37.69
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,24,40.71
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,33,47.01
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,9,54.80
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,30,55.97
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,301,81.69
2020-07-13,2020-08-02,2020-08-05T17:40:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,85,41.35
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,54,35.75
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,17,29.76
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,46,45.28
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,14,24.22
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,741,134.28
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,27,28.90
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,304,52.96
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,32,31.74
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,19,32.23
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,26,37.04
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,8,48.72
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,23,42.91
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,222,60.25
2020-07-20,2020-08-09,2020-08-12T17:00:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,82,39.89
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,45,29.80
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,10,17.50
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,36,35.43
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,11,19.03
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,519,94.05
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,20,21.41
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,226,39.37
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,22,21.82
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,11,18.66
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,18,25.64
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,5,30.45
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,13,24.25
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,152,41.25
2020-07-27,2020-08-16,2020-08-19T18:00:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,74,36.00
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,48,31.78
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,3,5.25
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,29,28.54
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,11,19.03
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,358,64.88
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,26,27.83
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,240,41.81
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,24,23.80
