"date","date_published","spatial_unit","cases","cases_lst","cases_residents","cases_nonresidents","cases_new","cases_lst_new","cases_residents_new","cases_nonresidents_new","cases_residents_prop","cases_nonresidents_prop","cases_sex_f_prop","cases_sex_m_prop","cases_sex_x_prop","cases_sex_u_prop","cases_age_mean","active","active_change","recovered","recovered_new","tests","tests_lst","tests_residents","tests_nonresidents","tests_new","tests_lst_new","tests_residents_new","tests_nonresidents_new","tests_residents_prop","tests_nonresidents_prop","tests_sex_f_prop","tests_sex_m_prop","tests_sex_x_prop","tests_sex_u_prop","tested_persons","tested_persons_residents","tested_persons_nonresidents","tested_persons_new","tested_persons_residents_new","tested_persons_nonresidents_new","tested_persons_residents_prop","tested_persons_nonresidents_prop","tested_persons_sex_f_prop","tested_persons_sex_m_prop","tested_persons_sex_x_prop","tested_persons_sex_u_prop","deaths","deaths_new","deaths_transfer","deaths_transfer_new","deaths_hospital_prop","deaths_nonhospital_prop","deaths_sex_f","deaths_sex_m","deaths_sex_x","deaths_sex_u","deaths_sex_f_prop","deaths_sex_m_prop","deaths_sex_x_prop","deaths_sex_u_prop","deaths_age_mean","deaths_age_median","deaths_age_min","deaths_age_max","hospital_total","hospital_normal","hospital_intensive","hospital_total_transfer","hospital_normal_transfer","hospital_intensive_transfer","hospital_total_change","hospital_normal_change","hospital_intensive_change","hospital_total_transfer_change","hospital_normal_transfer_change","hospital_intensive_transfer_change","hospital_admissions","hospital_admissions_new","hospital_admissions_new_all","hospital_admissions_new_ma7","hospital_discharges","hospital_discharges_new","hospital_discharges_new_all","hospital_discharges_new_ma7","reproduction_number_effective","reproduction_number_effective_low","reproduction_number_effective_high","reproduction_number","reproduction_number_low","reproduction_number_high","state","flags"
2020-02-24,2020-07-15T12:15:00.000+02:00,,0,,,,0,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-25,2020-07-15T12:15:00.000+02:00,,0,,,,0,,,,,,,,,,,,,,,9,,,,7,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-26,2020-07-15T12:15:00.000+02:00,,0,,,,0,,,,,,,,,,,,,,,11,,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-27,2020-07-15T12:15:00.000+02:00,,0,,,,0,,,,,,,,,,,,,,,12,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-28,2020-07-15T12:15:00.000+02:00,,0,,,,0,,,,,,,,,,,,,,,19,,,,7,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-29,2020-07-10T00:01:00.000+02:00,,1,,,,1,,,,,,,,,,,1,,0,,20,,17,3,1,,,,0.85,0.15,,,,,21,17,4,,,,0.81,0.19,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,0,,,0,,,,,,,"import",""
2020-03-01,2020-06-19T15:45:00.000+02:00,,1,,,,0,,,,,,,,,,,1,0,,,20,,17,3,0,,0,0,0.85,0.15,,,,,21,17,4,0,0,0,0.81,0.19,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-02,2020-04-29T17:30:00.000+02:00,,1,,,,0,,,,,,,,,,,1,0,,,27,,21,6,7,,4,3,0.778,0.222,,,,,28,21,7,7,4,3,0.75,0.25,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-03,2020-04-29T17:30:00.000+02:00,,1,,,,0,,,,,,,,,,,1,0,,,31,,23,8,4,,2,2,0.742,0.258,,,,,32,23,9,4,2,2,0.719,0.281,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-04,2020-04-29T17:30:00.000+02:00,,1,,,,0,,,,,,,,,,,1,0,,,31,,23,8,0,,0,0,0.742,0.258,,,,,32,23,9,0,0,0,0.719,0.281,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,"import",""
2020-03-05,2020-04-29T17:30:00.000+02:00,,2,,,,1,,,,,,,,,,,2,1,,,37,,28,9,6,,5,1,0.757,0.243,,,,,38,28,10,6,5,1,0.737,0.263,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,"import",""
2020-03-06,2020-04-29T17:30:00.000+02:00,,3,,,,1,,,,,,,,,,,3,1,,,46,,34,12,9,,6,3,0.739,0.261,,,,,47,34,13,9,6,3,0.723,0.277,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,"import",""
2020-03-07,2020-04-29T17:30:00.000+02:00,,4,,,,1,,,,,,,,,,,4,1,,,52,,40,12,6,,6,0,0.769,0.231,,,,,53,40,13,6,6,0,0.755,0.245,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,"import",""
2020-03-08,2020-07-15T12:15:00.000+02:00,,4,,,,0,,,,,,,,,,,4,0,,,52,,40,12,0,,0,0,0.769,0.231,,,,,53,40,13,0,0,0,0.755,0.245,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-09,2020-07-10T00:01:00.000+02:00,,4,,,,0,,,,,,,,,,,4,0,0,,68,,55,13,16,,15,1,0.809,0.191,,,,,69,55,14,16,15,1,0.797,0.203,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,"import",""
2020-03-10,2020-07-10T00:01:00.000+02:00,,4,,,,0,,,,,,,,,,,4,0,0,0,93,,76,17,25,,21,4,0.817,0.183,,,,,94,76,18,25,21,4,0.809,0.191,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-11,2020-07-10T00:01:00.000+02:00,,6,,,,2,,,,,,,,,,,6,2,0,0,144,,110,34,51,,34,17,0.7639,0.2361,,,,,145,110,35,51,34,17,0.7586,0.2414,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,"local",""
2020-03-12,2020-07-10T00:01:00.000+02:00,,21,,,,15,,,,,,,,,,,21,15,0,0,344,,282,62,200,,172,28,0.8198,0.1802,,,,,345,282,63,200,172,28,0.8174,0.1826,,,,,0,0,,,,,0.0,0.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,1,,,,,,,"local",""
2020-03-13,2020-07-10T16:15:00.000+02:00,,45,,,,24,,,,,,,,,,,45,24,0,0,547,,463,84,203,,181,22,0.8464,0.1536,,,,,549,463,86,204,181,23,0.8434,0.1566,,,,,0,0,,,,,0.0,1.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,1,,,,,,,"local",""
2020-03-14,2020-07-10T16:15:00.000+02:00,,66,,,,21,,,,,,,,,,,66,21,0,0,654,,553,101,107,,90,17,0.8456,0.1544,,,,,656,553,103,107,90,17,0.843,0.157,,,,,0,0,,,,,0.0,1.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,1,,,,,,,"local",""
2020-03-15,2020-07-10T16:15:00.000+02:00,,66,,,,0,,,,,,,,,,,66,0,0,0,678,,569,109,24,,16,8,0.8392,0.1608,,,,,680,569,111,24,16,8,0.8368,0.1632,,,,,0,0,,,,,0.0,1.0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,0,,,,,,,,1,,,,,,,"local",""
2020-03-16,2020-07-15T12:15:00.000+02:00,,99,,,,33,,,,,,,,,,,99,33,0,0,1098,,922,176,420,,353,67,0.83971,0.16029,,,,,1100,922,178,420,353,67,0.83818,0.16182,,,,,0,0,,,,,0.0,1.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,,,2,,,0,4,2.57,2.35,2.98,,,,"local",""
2020-03-17,2020-07-15T12:15:00.000+02:00,,221,,,,122,,,,,,,,,,,219,120,0,0,1748,,1485,263,650,,563,87,0.84954,0.15046,,,,,1750,1484,266,650,562,88,0.848,0.152,,,,,2,2,,,,,0.0,3.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,0,3,2.6,2.29,2.76,,,,"local",""
2020-03-18,2020-07-15T12:15:00.000+02:00,,379,,,,158,,,,,,,,,,,377,158,0,0,2698,,2364,334,950,,879,71,0.8762,0.1238,,,,,2705,2362,343,955,878,77,0.8732,0.1268,,,,,2,0,,,,,0.0,3.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,6,,0,3,2.51,2.22,2.6,2.692,2.241,3.143,"local",""
2020-03-19,2020-07-15T12:15:00.000+02:00,,522,,,,143,,,,,,,,,,,519,142,0,0,3669,,3258,411,971,,894,77,0.88798,0.11202,,,,,3678,3256,422,973,894,79,0.88526,0.11474,,,,,3,1,,,,,1.0,3.0,,,,,,,,,,,1,1,0,0,0,0,1,1,0,0,0,0,,,,4,,,0,2,2.23,1.89,2.23,3.166,2.747,3.585,"local",""
2020-03-20,2020-07-15T12:15:00.000+02:00,,697,,,,175,,,,,,,,,,,692,173,0,0,4777,,4239,538,1108,,981,127,0.88738,0.11262,,,,,4789,4236,553,1111,980,131,0.88453,0.11547,,,,,5,2,,,,,2.0,4.0,,,,,,,,,,,21,18,3,0,0,0,20,17,3,0,0,0,,,,5,,,0,2,1.85,1.66,1.97,2.968,2.586,3.35,"local",""
2020-03-21,2020-07-15T12:15:00.000+02:00,,824,,,,127,,,,,,,,,,,818,126,0,0,5259,,4671,588,482,,432,50,0.88819,0.11181,,,,,5272,4666,606,483,430,53,0.88505,0.11495,,,,,6,1,,,,,2.0,5.0,,,,,,,,,,,62,56,6,0,0,0,41,38,3,0,0,0,,,,6,,,8,2,1.85,1.61,1.91,2.787,2.437,3.136,"local",""
