"source","date","date_published","measure","group","interval","min_age","max_age","proportion"
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.024
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.059
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.238
graphs_age_distribution,2020-04-22,2020-04-23T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.679
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.059
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.245
graphs_age_distribution,2020-04-23,2020-04-24T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.673
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.047
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.235
graphs_age_distribution,2020-04-24,2020-04-25T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.694
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
graphs_age_distribution,2020-04-25,2020-04-26T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.682
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.023
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.247
graphs_age_distribution,2020-04-26,2020-04-27T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.685
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.247
graphs_age_distribution,2020-04-27,2020-04-28T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.686
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.247
graphs_age_distribution,2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.686
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.244
graphs_age_distribution,2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.689
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,
